PaymentID,BookingID,PaymentType,PaymentDate,PaymentAmount
660,836,UPI,2025-03-05,5732.69
661,838,Debit Card,2025-05-19,20877.48
662,839,Debit Card,2024-10-16,30824.28
663,840,Net Banking,2025-06-13,1879.64
664,841,Credit Card,2025-10-09,10644.53
665,842,UPI,2024-06-14,23570.6
666,843,Wallet,2025-02-19,18280.04
667,844,UPI,2025-11-15,32792.58
668,845,Net Banking,2024-05-03,49305.9
669,846,Debit Card,2026-06-06,141638.22
670,847,Wallet,2025-07-30,29703.06
671,848,EMI,2024-06-19,15949.76
672,849,Net Banking,2025-09-16,41878.36
673,850,Credit Card,2025-04-24,5803.41
674,851,Debit Card,2024-08-01,18508.12
675,853,EMI,2024-08-19,3182.54
676,854,EMI,2025-03-30,2010.63
677,855,EMI,2025-11-07,6489.5
678,856,UPI,2024-02-11,10039.04
679,858,EMI,2025-03-05,16028.55
680,859,Wallet,2025-08-28,43790.24
681,860,Debit Card,2025-09-08,19293.92
682,861,UPI,2026-04-14,10282.36
683,862,EMI,2025-11-16,55363.74
684,863,Net Banking,2025-04-01,73959.12
685,864,UPI,2026-01-28,4021.26
686,865,Net Banking,2025-09-28,5306.62
687,866,Wallet,2024-06-21,54772.98
688,867,Net Banking,2024-07-22,3407.56
689,868,UPI,2025-09-20,14514.96
690,869,Debit Card,2025-03-26,30800.34
691,870,UPI,2024-07-15,19389.3
692,871,UPI,2026-02-03,7832.01
693,872,Net Banking,2024-11-23,10470.08
694,873,Wallet,2025-08-15,5133.24
695,874,UPI,2026-01-05,6600.84
696,878,Net Banking,2025-11-08,214488.36
697,879,Wallet,2025-02-20,6196.27
698,880,Wallet,2025-12-30,1130.84
699,881,EMI,2024-09-11,4046.66
700,883,Net Banking,2024-04-08,24634.36
701,884,Wallet,2024-12-13,55870.56
702,885,Wallet,2024-01-13,29911.68
703,886,Credit Card,2024-07-05,2469.25
704,888,Wallet,2026-04-06,35609.2
705,889,Credit Card,2025-04-11,8356.72
706,890,Debit Card,2024-09-09,14268.64
707,891,Wallet,2026-05-18,3927.6
708,892,Net Banking,2024-10-16,83818.8
709,894,Credit Card,2026-02-28,647.42
710,895,Credit Card,2025-07-09,3089.38
711,896,Net Banking,2026-01-26,18400.75
712,897,Credit Card,2024-04-11,9258.27
713,898,Debit Card,2024-10-24,32618.08
714,899,EMI,2025-09-05,2054.36
715,900,UPI,2024-07-29,14024.41
